,PCR_Postive_Count,PCR_Positive_Hospitalised,Deceased,Total_Confirmed,Current_Infected,temperature,wind_speed,relative_humidity,PCR_Postive_Count_lag_-1,PCR_Postive_Count_lag_-2,PCR_Postive_Count_lag_-3,PCR_Postive_Count_lag_-4,PCR_Postive_Count_lag_-5,PCR_Postive_Count_lag_-6,PCR_Postive_Count_lag_-7,Current_Infected_lag_-1,Current_Infected_lag_-2,Current_Infected_lag_-3,Current_Infected_lag_-4,Current_Infected_lag_-5,Current_Infected_lag_-6,Current_Infected_lag_-7
PCR_Postive_Count_lag_-3,0.5196944708281738,0.2615353667946447,0.11549424929444985,0.5694045328484374,0.6310892562257734,-0.1404119703878965,0.1288783273669251,-0.277120646451168,0.5667216422895417,0.7347743564228723,1.0,0.7337615988894844,0.5628561569340405,0.5128041514015222,0.5064816126364631,0.6382379039767908,0.6534564169725134,0.6792873554955198,0.6969803793213497,0.6985210564839591,0.693706382331154,0.6920854987954023
PCR_Postive_Count_lag_-4,0.5136267567347931,0.24826567627567925,0.0827263241342145,0.5670513069134991,0.6277399401335573,-0.1451967208346716,0.1505352444655136,-0.2735437264594981,0.5172976381177519,0.5646245261048878,0.7337615988894844,1.0,0.7325175803473167,0.5604872006606111,0.5100834623664036,0.6291116441220375,0.6363038217913662,0.6516150041492673,0.6776032337688522,0.6953627032793268,0.6969461082222413,0.6920978443362289
PCR_Postive_Count_lag_-5,0.5647080769495769,0.30747832783395557,0.10196865850996298,0.5648877811352429,0.6271412531359508,-0.1457865160663671,0.14839750650378447,-0.2601105973618552,0.5113971274905728,0.515178929523157,0.5628561569340405,0.7325175803473167,1.0,0.7313264769912169,0.5582725933758829,0.6259476575074171,0.6273277524529092,0.6345639259508944,0.6499687695316567,0.6760040741790467,0.6939062808157473,0.6955717382572794
PCR_Postive_Count_lag_-6,0.6995289305512881,0.4534442565333338,0.23193082261127404,0.5622554840011643,0.6230520321310459,-0.14384763517397292,0.13097527961313998,-0.24149739951591856,0.5623369556007899,0.5088629688589106,0.5128041514015222,0.5604872006606111,0.7313264769912169,1.0,0.72971033649307,0.6248909400683077,0.6236900205990754,0.6250785837353753,0.6323591580175957,0.6478960536507875,0.6740535808400021,0.6920600846196957
PCR_Postive_Count_lag_-7,0.7991955739098836,0.5460909153442044,0.3541230953305748,0.5595612393048489,0.6073272807192921,-0.14193877444813596,0.12679712811834015,-0.24343689248926115,0.6979436147551734,0.5600717556780812,0.5064816126364631,0.5100834623664036,0.5582725933758829,0.72971033649307,1.0,0.6207319800885628,0.6225822061986874,0.6213738952696264,0.6227710047813532,0.630209668938385,0.6458044318665788,0.6720474348571227
Current_Infected_lag_-1,0.701154980312374,0.46301609478095906,0.2898725111862983,0.6313471408291778,0.9650930004003931,-0.14130236959924292,0.14494230699231975,-0.30859389218505445,0.6821148154740672,0.6549280387822747,0.6382379039767908,0.6291116441220375,0.6259476575074171,0.6248909400683077,0.6207319800885628,1.0,0.9648814428270621,0.94057290227503,0.9229742753354587,0.9101961661818454,0.9010525130860585,0.8906276545540348
Current_Infected_lag_-2,0.7027863599961537,0.454592285251521,0.28390189756110484,0.6291128810766272,0.9409319783942139,-0.14737709420488876,0.1410784582990021,-0.3053556715188135,0.699599867744764,0.6806028733982955,0.6534564169725134,0.6363038217913662,0.6273277524529092,0.6236900205990754,0.6225822061986874,0.9648814428270621,1.0,0.9646679561573179,0.9402105419230485,0.9226150518385918,0.909720267912422,0.9004436054742803
Current_Infected_lag_-3,0.6979945017607785,0.4429422348950277,0.27057136570909796,0.6268582481348439,0.923441097909183,-0.15770470664087685,0.14020447637468916,-0.30293819655521786,0.7012372172161131,0.6981907384659938,0.6792873554955198,0.6516150041492673,0.6345639259508944,0.6250785837353753,0.6213738952696264,0.94057290227503,0.9646679561573179,1.0,0.9644525168655943,0.9399567390169314,0.9222153430517251,0.9091647003303445
Current_Infected_lag_-4,0.6962639018733127,0.43097347262628255,0.2592005956808713,0.6245829935503003,0.9106308844243459,-0.16643190748016903,0.14597079101490104,-0.3008006523834235,0.6964121969457279,0.6998350330026126,0.6969803793213497,0.6776032337688522,0.6499687695316567,0.6323591580175957,0.6227710047813532,0.9229742753354587,0.9402105419230485,0.9644525168655943,1.0,0.9643469829193705,0.9396634209489504,0.9217366682397357
Current_Infected_lag_-5,0.7036190977398009,0.42784872613644204,0.25193767664514344,0.622398746923249,0.9015812635190573,-0.17397628104721416,0.14839263071529799,-0.2985753710748117,0.694778865218565,0.6950148366244251,0.6985210564839591,0.6953627032793268,0.6760040741790467,0.6478960536507875,0.630209668938385,0.9101961661818454,0.9226150518385918,0.9399567390169314,0.9643469829193705,1.0,0.9641657755013977,0.9394053798961773
Current_Infected_lag_-6,0.7220663822826424,0.4345710148906632,0.25352601341349834,0.6201572203148159,0.8912965985628788,-0.18069079379373748,0.14707041143693364,-0.2916080373726572,0.7021382508381475,0.6933310914753932,0.693706382331154,0.6969461082222413,0.6939062808157473,0.6740535808400021,0.6458044318665788,0.9010525130860585,0.909720267912422,0.9222153430517251,0.9396634209489504,0.9641657755013977,1.0,0.964020764511562
Current_Infected_lag_-7,0.7429364517083636,0.44386839772027176,0.26361599285487475,0.6178197262859839,0.8768475696083058,-0.1869372345445965,0.14752241623407267,-0.28875884851344974,0.7206200378349383,0.7007325555225838,0.6920854987954023,0.6920978443362289,0.6955717382572794,0.6920600846196957,0.6720474348571227,0.8906276545540348,0.9004436054742803,0.9091647003303445,0.9217366682397357,0.9394053798961773,0.964020764511562,1.0
