,Date,District,PCR_Postive_Count,PCR_Positive_Hospitalised,Deceased,temperature,wind_speed,relative_humidity
3590,2021-11-29,Trier-Saarburg,89,0,0,1.268,11.88,86.96
3591,2021-11-29,Rhein-Pfalz-Kreis,172,4,1,2.768,9.684,76.68
3592,2021-11-29,Rhein-Lahn-Kreis,27,3,0,2.692,10.504,84.12
3593,2021-11-29,Mainz-Bingen,52,3,2,2.692,18.172,88.08
3594,2021-11-29,Kusel,34,0,0,0.376,15.076,87.4
3595,2021-11-29,Kaiserslautern,87,1,1,1.036,28.83529412,87.4
3596,2021-11-29,Germersheim,316,0,1,-0.4,27.052,85.76
3597,2021-11-29,Donnersbergkreis,91,1,1,-0.368,21.828,91.96
3598,2021-11-29,Cochem-Zell,34,1,0,-0.24,12.744,93.32
3599,2021-11-29,Mayen-Koblenz,135,1,0,2.772,7.172,84.12
3600,2021-11-30,Ahrweiler,26,3,0,7.0,21.988,78.4
3601,2021-11-30,Altenkirchen,85,7,0,4.768,20.332,94.6
3602,2021-11-30,Alzey-Worms,90,2,0,4.076,18.328,86.6
3603,2021-11-30,Bad Kreuznach,52,0,0,5.408,18.328,78.44
3604,2021-11-30,Bernkastel-Wittlich,76,3,1,3.56,30.828,92.6
3605,2021-11-30,Birkenfeld,31,9,1,2.364,23.32,94.0
3606,2021-11-30,Kaiserslautern,109,2,2,2.816,,90.12
3607,2021-11-30,Donnersbergkreis,28,4,1,1.512,18.328,95.84
3608,2021-11-30,Germersheim,125,5,1,3.076,37.928,84.64
3609,2021-11-30,Rhein-Lahn-Kreis,69,0,0,5.564,18.328,81.96
3610,2021-11-30,Mainz-Bingen,85,1,0,5.564,35.58,86.6
3611,2021-11-30,Rhein-Pfalz-Kreis,201,4,0,4.832,19.264,76.36
3612,2021-11-30,Neuwied,0,0,0,4.388,15.004,95.64
3613,2021-11-30,Cochem-Zell,42,0,0,3.056,21.988,94.08
3614,2021-11-30,Trier-Saarburg,81,0,0,3.56,30.828,92.24
3615,2021-11-30,KS Ludwigshafen,167,2,0,4.064,19.264,84.8
3616,2021-11-30,Westerwaldkreis,94,4,0,2.536,20.332,96.04
3617,2021-11-30,KS Frankenthal,39,0,0,4.808,19.264,80.64
3618,2021-11-30,KS Kaiserslautern,89,1,1,2.816,,90.12
3619,2021-11-30,KS Koblenz,44,2,0,6.276,15.004,81.96
3620,2021-11-30,KS Landau i.d.Pf.,37,2,0,3.224,37.928,86.4
3621,2021-11-30,KS Mainz,74,1,0,4.508,33.392,86.6
