Stadt,PCR_pos_N,Inz1,Inz1b,Inz1c,Inz1d,Inz1e,Inz1f,PCR_pos_Hosp,Inz2,N3,Inz3,Inz3c,Inz3d,Inz3e,Inz3f,PCR_pos_Dec,N5,Inz5c,Inz5d,Inz5e,Inz5f,Week,avg_temperature_per_day,max_temp_per_day,min_temp_per_day,max - min temp
Rhein-Hunsruck,94,90.90821075439452,90.90469360351562,179.93702697753906,194.4012451171875,97.9676513671875,24.606298446655273,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,4,0,0,0,4,2021KW52,8.128,10.42,6.08,4.34
Rhein-Lahn-Kreis,138,112.58505249023438,112.58137512207031,99.35799407958984,202.2471923828125,137.47149658203122,56.761009216308594,5,4.07903528213501,2,1.6316142082214355,0.0,0.0,3.234623432159424,0.0,4,0,0,0,0,0,2021KW52,9.4248,11.92,7.3,4.62
Westerwaldkreis,249,122.76290130615234,122.76290130615234,247.5904083251953,146.5995330810547,130.04641723632812,55.76585006713867,6,2.9581422805786133,4,1.9720948934555051,0.0,0.0,0.9492439031600952,5.069622993469238,10,9,0,0,1,8,2021KW52,6.8264,8.719999999999999,5.3,3.4199999999999995
Alzey-Worms,157,120.10863494873048,120.07648468017578,144.6511993408203,169.52532958984375,147.48609924316406,47.77703857421875,4,3.0592734813690186,3,2.294455051422119,0.0,0.0,1.4748610258102417,5.3085598945617685,8,6,0,0,0,6,2021KW52,9.2912,12.1,7.1,5.0
Bad Kreuznach,182,114.6485595703125,114.63772583007812,225.4595947265625,229.33831787109372,125.66761016845705,31.93612861633301,6,3.7792656421661377,1,0.6298776268959045,0.0,0.0,0.0,1.9960080385208132,4,4,0,0,0,4,2021KW52,9.4248,11.92,7.3,4.62
Birkenfeld,83,102.68464660644531,99.67814636230469,81.2630615234375,170.8233642578125,115.8340072631836,75.04690551757812,6,7.205649375915527,2,2.401883125305176,0.0,0.0,0.0,7.504690647125244,10,10,0,0,0,10,2021KW52,7.94,10.84,6.3,4.54
Mainz-Bingen,252,119.13485717773438,119.05943298339844,134.82595825195312,163.37892150878906,153.9405975341797,39.09431457519531,1,0.4724580645561218,0,0.0,0.0,0.0,0.0,0.0,12,11,0,0,1,10,2021KW52,9.4248,11.92,7.3,4.62
KS Mainz,356,163.9623565673828,163.8288116455078,182.93771362304688,216.30975341796875,203.2567138671875,39.63142776489258,0,0.0,0,0.0,0.0,0.0,0.0,0.0,7,6,0,0,0,6,2021KW52,9.5272,11.66,7.6,4.0600000000000005
KS Worms,148,177.33258056640625,177.33258056640625,368.02288818359375,217.0879211425781,188.7865295410156,64.48007202148439,5,5.990965843200684,3,3.5945794582366943,0.0,0.0,2.274536609649658,8.597343444824219,6,4,0,0,1,3,2021KW52,9.7872,12.0,7.44,4.56
Bad Durkheim,190,142.85284423828125,142.82278442382812,282.7931213378906,235.1683654785156,143.86746215820312,77.58129119873047,5,3.7584941387176514,2,1.5033977031707764,0.0,0.0,1.5143942832946775,2.2818026542663574,15,15,0,0,2,13,2021KW52,10.372800000000002,12.9,8.059999999999999,4.840000000000002
